air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,temp_diff_k,power_w,strain_min_nm,type_l,type_m,type_h,tool_wear_critical,machine_failure,twf,hdf,pwf,osf,rnf
0.593749999999995,0.34782608695650025,-0.24607329842931938,0.5220588235294121,-0.4818181818181818,-0.5294117647058828,0.6356394317384787,-0.33626912662565434,0,1,0,0,0,0,0,0,0,0
-0.9687500000000105,-0.782608695652175,-0.5445026178010471,0.463235294117647,0.22727272727272727,0.882352941176471,0.3613143454402924,0.4930973102412608,0,1,0,0,0,0,0,0,0,1
0.2812499999999939,0.652173913043475,-0.7643979057591623,0.4044117647058825,0.2727272727272727,0.4705882352941172,0.14280458790037556,0.521485020496437,0,1,0,0,0,0,0,0,0,0
-0.37500000000001554,-0.13043478260869995,-0.4816753926701571,1.1911764705882355,-0.20909090909090908,0.6470588235294118,1.4072896180875498,0.16942175115528008,1,0,0,0,0,0,0,0,0,0
-0.9375000000000033,-0.6956521739130499,1.2041884816753927,-0.8382352941176475,-0.5181818181818182,0.9411764705882355,-0.7315301252870875,-0.5945880129182635,1,0,0,0,0,0,0,0,0,0
-0.5625000000000056,-0.5217391304347998,1.0628272251308901,-0.6102941176470591,-0.9,0.4705882352941172,-0.4065057142464208,-0.8683995384677825,0,0,1,0,0,0,0,0,0,0
0.18749999999999,0.39130434782607515,-1.256544502617801,0.8970588235294118,-0.02727272727272727,0.29411764705882365,0.44349359811863065,0.33408902469429286,0,1,0,0,0,0,0,0,0,0
-0.7812500000000028,-0.4782608695652249,-0.4712041884816754,0.007352941176470696,-0.509090909090909,0.9411764705882355,-0.22275590334603143,-0.4519072992827696,0,0,1,0,0,0,0,0,0,0
1.18749999999999,1.3478260869565002,0.5497382198952879,0.036764705882352956,-0.2545454545454545,-0.29411764705882365,0.3880427158829917,-0.18352283598791658,0,1,0,0,0,0,0,0,0,0
-0.8750000000000067,-0.652173913043475,-0.3769633507853403,0.13970588235294112,0.01818181818181818,0.882352941176471,0.014835724010837,0.13435457966359174,0,0,1,0,0,0,0,0,0,0
-0.37500000000001554,0.0,-0.193717277486911,0.17647058823529407,0.7272727272727273,0.8235294117647054,0.17346623024768631,0.9158283517617658,1,0,0,0,0,0,0,0,0,0
-0.6875000000000167,-0.652173913043475,0.9842931937172775,-0.7720588235294121,0.08181818181818182,0.5294117647058817,-0.7087419030984827,-0.13106123419281143,1,0,0,0,0,0,0,0,0,0
-0.28125000000001166,0.2608695652173752,0.193717277486911,-0.2794117647058828,0.6181818181818182,1.0,-0.2876067553257327,0.5459068006424342,1,0,0,0,0,0,0,0,0,0
-0.5312500000000161,-0.7391304347826249,0.06282722513089005,0.0,0.6545454545454545,0.11764705882352905,0.061601776848706574,0.737338304274971,1,0,0,0,0,0,0,0,0,0
0.09374999999998612,-0.13043478260869995,-0.4293193717277487,0.5220588235294121,-0.9727272727272728,-0.23529411764705913,0.5166785856724383,-0.9274014460569724,0,1,0,0,0,0,0,0,0,0
-0.4375000000000122,-0.08695652173914978,0.5968586387434555,-0.5220588235294121,0.8727272727272727,0.8235294117647054,-0.4705795387344767,0.6262690686442202,1,0,0,1,0,0,0,0,0,0
-0.7500000000000133,-0.6086956521739249,-1.3298429319371727,1.4926470588235299,0.32727272727272727,0.7058823529411763,1.1192805963170274,1.0757875328319872,1,0,0,0,0,0,0,0,0,0
-0.37500000000001554,-0.04347826086957489,0.3193717277486911,-0.4632352941176476,0.6909090909090909,0.7647058823529409,-0.5064259485924114,0.5071520099264215,1,0,0,0,0,0,0,0,0,0
-0.6250000000000022,-0.6086956521739249,0.3403141361256545,-0.5294117647058828,-0.8818181818181818,0.4705882352941172,-0.5983077303920895,-0.8510978784593172,1,0,0,0,0,0,0,0,0,0
1.2500000000000044,1.3478260869565002,-0.3612565445026178,0.7352941176470591,-0.5818181818181818,-0.41176470588235375,0.8603172747651725,-0.42776383002162693,1,0,0,0,0,0,0,0,0,0
0.7499999999999956,0.43478260869565005,0.35602094240837695,-0.4338235294117648,0.8545454545454545,-0.7058823529411774,-0.4441399749700881,0.6669024578330018,1,0,0,1,0,0,0,0,0,0
-0.28125000000001166,-0.56521739130435,2.1204188481675392,-1.3823529411764712,-0.02727272727272727,-0.11764705882353009,-1.3865780534429877,-0.41363955261525254,0,0,1,0,0,0,0,0,0,0
-0.15625000000000056,0.04347826086955017,-0.18324607329842932,0.5808823529411766,-0.8909090909090909,0.4705882352941172,0.7609884064747707,-0.8272095275092914,1,0,0,0,0,0,0,0,0,0
